,Species,Origin,Aroma,Flavor,Aftertaste,Acid,Mouthfeel,Color,altitude_mean_meters,,,,,,,,,,,,,,,,,Uniform.Cup,Clean.Cup,Balance,Cupper.Points,Total.Cup.Points,,Category.One.Defects,Quakers,,,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters
11,Robusta,India,7.67,7.83,7.75,7.5,7.75,Green,1000,,,,,,,,,,,,,,,,,10,10,7.67,7.83,81.75,,0,0,,,"June 26th, 2015",Uganda Coffee Development Authority,e36d0270932c3b657e96b7b0278dfd85dc0fe743,03077a1c6bac60e6f514691634a7f6eb5c85aae8,m,1095,1095
12,Robusta,India,7.58,7.58,7.67,7.58,7.67,Green,750,,,,,,,,,,,,,,,,,10,10,7.58,7.75,81.58,,0,0,,,"August 23rd, 2017",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,1000,1000
13,Robusta,Uganda,8,7.75,7.75,7.58,7.67,Green,1367,,,,,,,,,,,,,,,,,10,10,7.67,8.33,81.58,,0,0,,,"May 19th, 2015",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,750,750
14,Robusta,Uganda,8,7.67,7.75,7.5,7.67,Green,1488,,,,,,,,,,,,,,,,,10,10,7.5,7.67,81.5,,0,0,,,"July 14th, 2015",Uganda Coffee Development Authority,e36d0270932c3b657e96b7b0278dfd85dc0fe743,03077a1c6bac60e6f514691634a7f6eb5c85aae8,m,1367,1367
15,Robusta,India,7.75,7.75,7.67,7.67,7.58,Green,1000,,,,,,,,,,,,,,,,,10,10,7.58,7.75,81.5,,0,0,,,"July 14th, 2015",Uganda Coffee Development Authority,e36d0270932c3b657e96b7b0278dfd85dc0fe743,03077a1c6bac60e6f514691634a7f6eb5c85aae8,m,1488,1488
16,Robusta,India,7.5,7.5,7.25,7.83,7.67,Blue-Green,750,,,,,,,,,,,,,,,,,10,10,7.58,7.83,81.42,,0,0,,,"April 29th, 2016",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,1000,1000
17,Robusta,Uganda,7.33,7.58,7.5,7.75,7.75,Green,1600,,,,,,,,,,,,,,,,,10,10,7.83,7.83,81.25,,0,0,,,"June 3rd, 2014",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,750,750
18,Robusta,Uganda,7.83,7.58,7.33,7.67,7.5,Green,1745,,,,,,,,,,,,,,,,,10,10,7.67,7.58,80.92,,0,0,,,"June 27th, 2015",Uganda Coffee Development Authority,e36d0270932c3b657e96b7b0278dfd85dc0fe743,03077a1c6bac60e6f514691634a7f6eb5c85aae8,m,1600,1600
19,Robusta,Uganda,7.75,7.42,7.33,7.58,7.67,Green,1200,,,,,,,,,,,,,,,,,10,10,7.5,7.42,80.58,,0,0,,,"June 27th, 2015",Uganda Coffee Development Authority,e36d0270932c3b657e96b7b0278dfd85dc0fe743,03077a1c6bac60e6f514691634a7f6eb5c85aae8,m,1745,1745
20,Robusta,India,7.67,7.67,7.5,7.33,7.58,Bluish-Green,750,,,,,,,,,,,,,,,,,10,10,7.58,7.5,80.5,,0,0,,,"June 27th, 2015",Uganda Coffee Development Authority,e36d0270932c3b657e96b7b0278dfd85dc0fe743,03077a1c6bac60e6f514691634a7f6eb5c85aae8,m,1200,1200
21,Robusta,India,7.58,7.42,7.42,7.83,7.42,Green,750,,,,,,,,,,,,,,,,,10,10,7.5,7.5,80.17,,0,0,,,"May 19th, 2015",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,750,750
22,Robusta,United States,7.92,7.5,7.42,7.42,7.42,Green,3000,,,,,,,,,,,,,,,,,10,10,7.5,7.58,80.17,,0,0,,,"June 20th, 2014",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,750,750
23,Robusta,Ecuador,7.5,7.67,7.75,7.75,5.17,Blue-Green,40,,,,,,,,,,,,,,,,,9.33,10,7.42,7.33,79.33,,0,0,,,"February 28th, 2013",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,3000,3000
24,Arabica,Ethiopia,8.67,8.83,8.67,8.75,8.5,Green,2075,,,,,,,,,,,,,,,,,10,10,5.25,8.58,78.08,,0,0,,,"January 18th, 2017",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,40,40
25,Arabica,Ethiopia,8.75,8.67,8.5,8.58,8.42,Green,2075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Arabica,Uganda,8.42,8.17,8.17,8.17,7.83,Green,1950,,,,,,,,,,,,,,,,,9.33,9.33,7.17,7.17,77.17,,0,0,,,"December 23rd, 2015",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,795,795
27,Arabica,Ethiopia,8.17,8.58,8.42,8.42,8.5,Green,2000,,,,,,,,,,,,,,,,,9.33,9.33,7,6.92,75.08,,20,0,,,"August 25th, 2015",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,NA,NA
28,Arabica,Ethiopia,8.25,8.5,8.25,8.5,8.42,Green,2075,,,,,,,,,,,,,,,,,9.33,9.33,6.83,7.92,73.75,,63,0,,,"August 25th, 2015",Specialty Coffee Association,ff7c18ad303d4b603ac3f8cff7e611ffc735e720,352d0cf7f3e9be14dad7df644ad65efc27605ae2,m,NA,NA
29,Arabica,Honduras,8.17,8.08,8.08,8,8.08,Green,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Arabica,Taiwan,8,8,8,8.25,8,Green,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Arabica,Costa Rica,8.17,7.83,8,8.08,7.83,Blue-Green,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Arabica,Ethiopia,8,8.08,7.92,8,8.08,Green,1775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Arabica,Ethiopia,8.08,8.58,8.5,8.5,7.67,Green,1822.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Arabica,Kenya,8.08,8,8,8.25,7.92,Blue-Green,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Arabica,Thailand,7.83,8.33,7.83,8.25,7.58,Green,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Arabica,Taiwan,8.08,8.17,7.75,8.08,7.75,Green,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Arabica,Kenya,8.08,8.08,8,8,7.83,Bluish-Green,1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Arabica,Brazil,8.33,8,8,8,7.75,Blue-Green,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Arabica,Colombia,7.75,7.92,7.83,8.08,8.08,Green,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Arabica,Kenya,7.92,8.17,7.83,8.5,7.5,Green,1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Arabica,Uganda,8.25,8,7.83,8.08,8,Blue-Green,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Arabica,China,8.42,8.25,8.08,8.17,7.92,Green,1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Arabica,Uganda,8.17,8.17,7.92,8.08,7.83,Green,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Arabica,United States,8,8.25,8.08,8.5,8.25,None,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Arabica,Costa Rica,8.08,8.25,8,8.17,8,Green,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Arabica,Mexico,8.17,8.25,8.17,8,7.83,Green,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Arabica,Colombia,8,8,8,8.17,7.83,Blue-Green,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Arabica,Panama,8,8,7.92,8.08,7.83,Bluish-Green,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Arabica,Brazil,8.5,8.5,8,8,8,Green,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Arabica,Papua New Guinea,8.33,8.42,7.83,8.33,8,Bluish-Green,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
